"item_code","category_code","item_name","fkko_code","hazard_class"
"SAND","INERT","Песок","",""
"GRAVEL","INERT","Щебень","",""
"SNOW","SNOW","Снег","",""
"SOIL","NO_OSSG","Грунт","",""
"CONCRETE_DEBRIS","NO_OSSG","Бетонный бой","",""
"CONCRETE_DEBRIS","NO_OSSG","Кирпичный бой","",""
"CONCRETE_DEBRIS","NO_OSSG","Асфальный бой","",""
"80000000000","OSSG","ОТХОДЫ СТРОИТЕЛЬСТВА И РЕМОНТА","80000000000","5"
"81000000000","OSSG","ОТХОДЫ ПОДГОТОВКИ СТРОИТЕЛЬНОГО УЧАСТКА, РАЗБОРКИ И СНОСА ЗДАНИЙ
(растительные отходы при подготовке строительного участка см. Блок 1, группу 1 50)","81000000000","5"
"81110000000","OSSG","Отходы грунта при проведении земляных работ","81110000000","5"
"81110001495","OSSG","грунт, образовавшийся при проведении землеройных работ, не загрязненный опасными веществами","81110001495","5"
"81111000000","OSSG","Отходы грунта при проведении открытых земляных работ","81111000000","5"
"81111111494","OSSG","отходы грунта при проведении открытых земляных работ малоопасные","81111111494","5"
"81111112495","OSSG","отходы грунта при проведении открытых земляных работ практически неопасные","81111112495","5"
"81111221405","OSSG","отходы торфа при проведении открытых земляных работ","81111221405","5"
"81111531404","OSSG","грунт насыпной, загрязненный отходами строительных материалов","81111531404","5"
"81112000000","OSSG","Отходы грунта при проведении подземных земляных работ","81112000000","5"
"81112211394","OSSG","растворы буровые глинистые на водной основе при горизонтальном, наклонно-направленном бурении при строительстве подземных сооружений","81112211394","5"
"81112311394","OSSG","шламы буровые при горизонтальном, наклонно-направленном бурении с применением бурового раствора глинистого на водной основе малоопасные","81112311394","5"
"81112312395","OSSG","шламы буровые при горизонтальном, наклонно-направленном бурении с применением бурового раствора глинистого на водной основе практически неопасные","81112312395","5"
"81113000000","OSSG","Отходы грунта при проведении подводных земляных работ","81113000000","5"
"81113111205","OSSG","отходы (грунты) дноочистительных работ на водных объектах обезвоженные практически неопасные","81113111205","5"
"81113311394","OSSG","отходы (донные отложения) при дноочистительных работах на водных объектах - приемниках загрязненных сточных вод","81113311394","5"
"81200000000","OSSG","Отходы от сноса и разборки зданий
(отходы бетона и железобетона см. группу 8 22)","81200000000","5"
"81210101724","OSSG","древесные отходы от сноса и разборки зданий","81210101724","5"
"81220101205","OSSG","лом кирпичной кладки от сноса и разборки зданий","81220101205","5"
"81231121404","OSSG","грунты промышленной площадки при сносе и разборке зданий","81231121404","5"
"81290101724","OSSG","мусор от сноса и разборки зданий несортированный","81290101724","5"
"81291111203","OSSG","мусор от сноса и разборки производственных зданий, загрязненных соединениями свинца","81291111203","5"
"81291112203","OSSG","мусор от сноса и разборки производственных зданий, загрязненных ртутью и ее соединениями","81291112203","5"
"81900000000","OSSG","Прочие отходы подготовки строительного участка","81900000000","5"
"81910001495","OSSG","отходы песка незагрязненные","81910001495","5"
"81910003215","OSSG","отходы строительного щебня незагрязненные","81910003215","5"
"81991111704","OSSG","отходы подготовки строительного участка, содержащие преимущественно древесину, бетон, железо","81991111704","5"
"82000000000","OSSG","ОТХОДЫ СТРОИТЕЛЬСТВА ЗДАНИЙ, СООРУЖЕНИЙ
(отходы древесных, асбестсодержащих строительных материалов см. Блоки 3, 4; отходы теплоизоляционных материалов см. Блок 4 группу 4 57)","82000000000","5"
"82100000000","OSSG","Отходы строительных материалов на основе природного камня","82100000000","5"
"82110101215","OSSG","лом бортовых камней, брусчатки, булыжных камней и прочие отходы изделий из природного камня","82110101215","5"
"82121111205","OSSG","отходы резки, пиления, обработки блоков из натурального мрамора","82121111205","5"
