"polygon_id","seq_no","receiver_name","receiver_inn","facility_address","facility_coordinates","region","phone","email","kip_number","fkko_code"
"POLY_001","1","ООО ""А-Комплект""","7731420155","г. Москва, Новоподрезково, деревня Верескино - река
Сходня","55.929447 37.352625","Москва","8 (903) 162 62 81","akomplekt2021@mail.ru","62","82202112495;81110001495;81111112495;81910001495;82220101215;82419111205;82230101215;82151111405"
"POLY_002","2","ООО ""Алекс-спец""","5043042727","г. Москва, поселение Краснопахорское, с. Былово,
50:27:0020118:221","55.444953 37.257875","Москва","8 (967) 215 13 55","aleks.spets@bk.ru","63","81111221405;81220101205;82451111205;81910003215;82230101215;82310101215;82110101215;81113111205;82421111205;82151111405;
82210101215;84921112205;82320101215;82419111205;82913111205;81111112495;81112312395;83010001715;89001111725;81910001495;
82202112495;82121111205;82220101215;81110001495"
"POLY_003","3","ООО ""Алекс Строй""","5044063046","Московская область, ГП ОПХ ЦМИС","56.12474 36.982053","Московская
область","8 (926) 459 29 89","alexctroy@bk.ru","195","15211001215;15211002215;15211003235;15211004215;15411001215;40414000515;40419000515;45720102205;45911001515;45911099515;
81110001495;81111112495;81113111205;81220101205;81910001495;81910003215;82110101215;82202112495;82210101215;82220101215;
82230101215;82310101215;82320101215;82913111205;83010001715"
"POLY_004","4","ООО ""Алмаз""","7743946070","0,2 км восточнее д. Шемякино, Солнечногорского
муниципального района Московской области","55.999153 37.376237","Московская
область","8 (958) 638 82 58","almaz@almazcorp.ru","77","81110001495;81111112495"
"POLY_005","5","ООО ""Альфа""","504215576","141100, Московская область, г.о. Щелково, п. Литвиново","56.017924 38.14671","Московская
область","8 (926) 563 80 86","sunnyy@list.ru","126","15211001215;15411001215;40414000515;45911099515;81110001495;81111112495;81111221405;81112312395;81113111205;81220101205;
81910001495;81910003215;82110101215;82210101215;82151111405;82202112495;82220101215;82230101215;82310101215;82320101215;
82419111205;82421111205;82451111205;82913111205;83010001715;84921112205;84121112525"
"POLY_006","6","ООО ""Аметист""","7734127846","Московская область, Раменский район, сельское
поселение Чулковское, земельные участки с
кадастровыми номерами: 50:23:0040330:36;
50:23:0040330:52; 50:23:0040330:51","55.541420 38.079437","Московская
область","8 (917) 550 12 26","Ametist-B2019@yandex.ru","1","81110001495;81111112495;81111221405;81112312395;81113111205;81220101205;81910001495;81910003215;82110101215;82121111205;
82151111405;82202112495;82210101215;82220101215;82230101215;82310101215;82320101215;82419111205;82421111205;82913111205;
82451111205;82924111405;83010001715;84121112525;84921112205;89001111725;15211002215;15211004215;15411001215;40419000515;
45720102205;15211001215;81111111494;81111531404;81112211394;81112311394;81210101724;81290101724;82221111204;82913211624;
93110003394;93110001393;89000001724;83020001714"
"POLY_007","7","ООО ""Бакаут""","5047238992","Московская область, городской округ Долгопрудный,
город Долгопрудный, проезд Строителей, участок 3","55.911645 37.521","Московская
область","8 (926) 577 88 87","ev.zavyalova@alva.moscow","189","15211001215;15211002215;15211003235;15411001215;40414000515;40419000515;40421111515;45110100205;45711211605;45720102205;
45911099515;49211121725;81110001495;81111112495;81111221405;81112211394;81112311394;81112312395;81113111205;81210101724;
81220101205;81290101724;81910001495;81910003215;82110101215;82121111205;82151111405;82202112495;82210101215;82220101215;
82221111204;82230101215;82310101215;82320101215;82419111205;82421111205;82451111205;82913111205;83010001715;84121112525;
84210102214;84210101213;84220102494;84220101493;84921112205;89000003214;93110001393;93110003394;15211004215;81111111494"
"POLY_008","8","ООО ""Биорем""","7701352821","Московская область, городской округ Балашиха, в районе
полигона «Кучино», земельные участки с кадастровыми
номерами: 50:15:0031002:26 и 50:15:0031002:22","55.737011 37.941076","Московская
область","8 (903) 211 94 99","biorem-ecology@yandex.ru","38","45720102205;45911099515;81220101205;82110101215;82121111205;82202112495;82210101215;82220101215;82230101215;82310101215;
82320101215;82421111205;83010001715;84121112525;48230201525;82419111205;43411003515;15211001215;15211002215;15211003235;
15211004215;15411001215;40419000515;49211121725;82913111205;84921112205;46101001205;46110001515;46120001515;45110100205;
45711211605;40421111515;40414000515;43425001295;45110200205;45142121615;45911111515;45912111515;45911001515;45911011715;
43812204515;43411001205;43411004515;43414102515;43415101515;46110002215;46110099205;46120002215;46120099205;46220003215;
46220006205;43499133725;81111112495;81113111205;81110001495;89001111725;43414101205;46210001205"
"POLY_009","9","ООО ""Биорем""","7701352821","Московская область, городской округ Мытищи, д.
Сухарево, земельные участки с кадастровыми номерами:
50:12:0030401:71; 50:12:0030401:62; 50:12:0030401:60;
50:12:0030401:59; 50:12:0030401:58; 50:12:0030401:57;
50:12:0030401:56; 50:12:0030401:42","56.073218 37.523817","Московская
область","8 (903) 211 94 99","biorem-ecology@yandex.ru","154","45720102205;45911099515;45911111515;45912111515;81220101205;82110101215;82121111205;82202112495;82210101215;82220101215;
82230101215;82310101215;82320101215;82421111205;83010001715;84121112525;81110001495;81111112495;81113111205;81910001495;
81910003215;82151111405"
"POLY_010","10","ООО ""Биоэкопром""","7751514080","Московская область, Люберецкий район, городское
поселение Красково, деревня Машково, между юго-
западной границей иловых карт и берегом реки Пехорка","55.677747 37.963279","Московская
область","8 (985) 969 70 74","bioecoprom@inbox.ru","13","82220101215;82110101215;81910003215;81220101205;81210101724;45110100205;40419000515;15411001215;15211002215;82230101215;
82310101215;82320101215;81110001495;81111112495;81112312395;81113111205;45720102205;83010001715;82210101215;81910001495;
81991111704;82221111204;82223111204;82233111204;82291111204;82431121214;82441111214;81111221405;82419111205;82202112495;
82913111205;82121111205;82151111405;82421111205;82451111205;84121112525;84921112205;40414000515;45911111515;81111111494;
82240101214;15211001215"
